InteropEnumsFullName,EnumTypesFullName
DocumentModel.Interop.Word.WdHelpTypeHID,DocumentModel.Vml.OleType
DocumentModel.Interop.Word.XlBarShape,DocumentModel.Drawings.Charts.Shape
DocumentModel.Interop.Word.XlDataLabelsType,DocumentModel.Drawings.ChartDrawings.DataLabelPos
MsoCalloutType,DocumentModel.Wordprocessing.TableLayoutType
MsoFilterComparison,DocumentModel.Wordprocessing.Comparison
MsoPresetTextEffect,DocumentModel.Wordprocessing.TextEffect
MsoReflectionType,DocumentModel.Math.FractionType
DocumentModel.Interop.Word.WdEnvelopeOrientation,DocumentModel.Drawings.ChartDrawings.PageOrientation
DocumentModel.Interop.Word.WdProofreadingErrorType,DocumentModel.Wordprocessing.ProofingError
DocumentModel.Interop.Core.XlCategoryType,DocumentModel.Wordprocessing.StoryType
DocumentModel.Interop.Word.WdIndexFormat,DocumentModel.Wordprocessing.DateFormat
DocumentModel.Interop.Word.WdIndexType,DocumentModel.Wordprocessing.InfoTextType
DocumentModel.Interop.Word.WdLineStyle,DocumentModel.Wordprocessing.InteropStyle
DocumentModel.Interop.Word.WdRelativeVerticalSize,DocumentModel.Wordprocessing.Drawings.SizeRelativeVertically
DocumentModel.Interop.Word.WdTableFormat,DocumentModel.Wordprocessing.DateFormat
DocumentModel.Interop.Word.XlCategoryType,DocumentModel.Wordprocessing.StoryType
DocumentModel.Interop.Word.XlLineStyle,DocumentModel.Wordprocessing.InteropStyle
MsoLineStyle,DocumentModel.Wordprocessing.InteropStyle
DocumentModel.Interop.Word.WdCaptionNumberStyle,DocumentModel.Wordprocessing.NumberStyle
DocumentModel.Interop.Word.WdCaptionNumberStyleHID,DocumentModel.Wordprocessing.NumberStyle
DocumentModel.Interop.Word.WdDictionaryType,DocumentModel.Wordprocessing.SectionMarkType
DocumentModel.Interop.Word.WdDictionaryTypeHID,DocumentModel.Wordprocessing.SectionMarkType
DocumentModel.Interop.Word.WdPageBorderArt,DocumentModel.Wordprocessing.PageBorderOffset
DocumentModel.Interop.Word.WdSectionDirection,DocumentModel.Wordprocessing.TextDirection
DocumentModel.Interop.Word.WdAlignmentTabAlignment,DocumentModel.Drawings.TextTabAlignment
DocumentModel.Interop.Word.WdTwoLinesInOneType,DocumentModel.Wordprocessing.TwoLinesInOneBracket
DocumentModel.Interop.Word.WdEditionType,DocumentModel.Vml.ExtrusionType
DocumentModel.Interop.Word.WdListType,DocumentModel.Drawings.Diagrams.AxisType
MsoBarType,DocumentModel.Wordprocessing.BreakType
MsoControlType,DocumentModel.Vml.ConnectorType
MsoLineCapStyle,DocumentModel.Wordprocessing.InteropStyle
DocumentModel.Interop.Word.WdHorizontalLineWidthType,DocumentModel.Wordprocessing.Vml.HorizontalAnchorType
DocumentModel.Interop.Core.MsoScriptLocation,DocumentModel.Math.LimitLocation
DocumentModel.Interop.Word.WdDropPosition,DocumentModel.Wordprocessing.EndnotePosition
DocumentModel.Interop.Word.WdSectionStart,DocumentModel.Wordprocessing.SectionMarkType
DocumentModel.Interop.Word.WdCursorType,DocumentModel.Wordprocessing.ColorType
DocumentModel.Interop.Word.WdEditorType,DocumentModel.Wordprocessing.StoryType
DocumentModel.Interop.Word.WdLinkType,DocumentModel.Drawings.LineEndType
DocumentModel.Interop.Word.WdToaFormat,DocumentModel.Wordprocessing.DateFormat
DocumentModel.Interop.Word.WdTocFormat,DocumentModel.Wordprocessing.DateFormat
DocumentModel.Interop.Word.WdTofFormat,DocumentModel.Wordprocessing.DateFormat
MsoButtonStyle,DocumentModel.CustomUI.BoxStyle
MsoIconType,DocumentModel.Vml.ConnectType
MsoShapeType,DocumentModel.Vml.ShadowType
DocumentModel.Interop.Word.XlChartGallery,DocumentModel.Wordprocessing.DocPartGalleryType
DocumentModel.Interop.Word.XlPictureAppearance,DocumentModel.Wordprocessing.SdtAppearance
MsoCTPDockPosition,DocumentModel.Wordprocessing.CaptionPosition
MsoNumberedBulletStyle,DocumentModel.Wordprocessing.BulletStyle
MsoOrgChartOrientation,DocumentModel.Drawings.Charts.Orientation
DocumentModel.Interop.Word.WdCalendarTypeBi,DocumentModel.Wordprocessing.Calendar
DocumentModel.Interop.Word.WdEnclosureType,DocumentModel.Wordprocessing.ColorType
DocumentModel.Interop.Word.WdHorizontalInVerticalType,DocumentModel.Wordprocessing.Vml.HorizontalAnchorType
DocumentModel.Interop.Word.WdListGalleryType,DocumentModel.Wordprocessing.DocPartGalleryType
DocumentModel.Interop.Word.WdScrollbarType,DocumentModel.Wordprocessing.ColorType
DocumentModel.Interop.Word.WdSeparatorType,DocumentModel.Wordprocessing.StoryType
DocumentModel.Interop.Word.WdWrapTypeMerged,DocumentModel.Wordprocessing.Vml.WrapType
MsoFileDialogType,DocumentModel.Vml.FillType
DocumentModel.Interop.Core.XlPivotFieldOrientation,DocumentModel.Drawings.ChartDrawings.PageOrientation
DocumentModel.Interop.Word.XlPivotFieldOrientation,DocumentModel.Drawings.ChartDrawings.PageOrientation
DocumentModel.Interop.Word.WdFramePosition,DocumentModel.Drawings.Charts.AxisPosition
DocumentModel.Interop.Word.WdRelativeHorizontalPosition,DocumentModel.Wordprocessing.Drawings.SizeRelativeHorizontally
DocumentModel.Interop.Word.WdRevisionType,DocumentModel.Vml.ExtrusionType
DocumentModel.Interop.Word.WdShapePosition,DocumentModel.Drawings.Charts.AxisPosition
MsoAlertIconType,DocumentModel.Math.FractionType
MsoAnimationType,DocumentModel.Math.FractionType
MsoBalloonErrorType,DocumentModel.Drawings.Charts.ErrorType
MsoLineJoinStyle,DocumentModel.Wordprocessing.InteropStyle
MsoPictureColorType,DocumentModel.Wordprocessing.ColorType
DocumentModel.Interop.Core.MsoContactCardType,DocumentModel.Vml.ConnectorType
DocumentModel.Interop.Core.XlHAlign,DocumentModel.Drawings.ChartDrawings.PosAlign
DocumentModel.Interop.Core.XlVAlign,DocumentModel.Drawings.ChartDrawings.PosAlign
DocumentModel.Interop.Word.WdPictureLinkType,DocumentModel.Drawings.Charts.TrendlineType
DocumentModel.Interop.Word.WdStyleSort,DocumentModel.CustomUI.Style
DocumentModel.Interop.Word.XlHAlign,DocumentModel.Drawings.ChartDrawings.PosAlign
DocumentModel.Interop.Word.XlRgbColor,DocumentModel.WdColors
DocumentModel.Interop.Word.XlVAlign,DocumentModel.Drawings.ChartDrawings.PosAlign
MsoBevelType,DocumentModel.Vml.OleType
MsoCharacterSet,DocumentModel.Wordprocessing.CharacterSpacing
MsoChartFieldType,DocumentModel.Drawings.ChartBuildStep
MsoHyperlinkType,HyperlinkAction
MsoMixedType,DocumentModel.Vml.OleType
MsoSyncVersionType,DocumentModel.Vml.ExtrusionType
DocumentModel.Interop.Word.WdOMathFunctionType,DocumentModel.Drawings.Diagrams.ConnectionType
DocumentModel.Interop.Word.WdContentControlDateStorageFormat,DocumentModel.Wordprocessing.DateStorageFormat
DocumentModel.Interop.Core.XlChartElementPosition,DocumentModel.Drawings.Charts.LegendPosition
DocumentModel.Interop.Core.XlChartItem,DocumentModel.Wordprocessing.DateItem
DocumentModel.Interop.Word.WdLockType,DocumentModel.Wordprocessing.ColorType
DocumentModel.Interop.Word.XlChartElementPosition,DocumentModel.Drawings.Charts.LegendPosition
DocumentModel.Interop.Word.XlChartItem,DocumentModel.Wordprocessing.DateItem
DocumentModel.Interop.Word.XlDataLabelSeparator,DocumentModel.Wordprocessing.ChapterSeparator
MsoAlignCmd,DocumentModel.Vml.Alignment
MsoPresetGradientType,DocumentModel.Drawings.PresetCameraType
MsoRelativeNodePosition,DocumentModel.Drawings.Charts.LegendPosition
DocumentModel.Interop.Word.WdMailMergeMainDocType,DocumentModel.Wordprocessing.MailMergeDocument
EncryptionProviderDetail,DocumentModel.Wordprocessing.CryptProvider
MsoPresetExtrusionDirection,DocumentModel.Wordprocessing.TextDirection
DocumentModel.Interop.Word.WdAlertLevel,DocumentModel.Wordprocessing.MultiLevel
DocumentModel.Interop.Word.WdAnimation,DocumentModel.Wordprocessing.Information
DocumentModel.Interop.Word.WdArrangeStyle,DocumentModel.Math.RunStyle
DocumentModel.Interop.Word.WdCellColor,DocumentModel.Wordprocessing.SchemeColor
DocumentModel.Interop.Word.WdOMathType,DocumentModel.Wordprocessing.DocPartType
DocumentModel.Interop.Word.WdOpenFormat,DocumentModel.Wordprocessing.DateFormat
DocumentModel.Interop.Word.XlPattern,DocumentModel.Drawings.PresetPattern
MailFormat,DocumentModel.Wordprocessing.DateFormat
MsoTextCharWrap,DocumentModel.Drawings.TextCaps
MsoWarpFormat,DocumentModel.Wordprocessing.DateFormat
