"File","Line","Kind","AttrArgs","PropertyType","Property","Field"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","72","Property","nameof(DXO10CUI.BackstageFastCommandButton.OnAction)","String?","OnAction","_OnAction"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","79","Property","nameof(DXO10CUI.BackstageFastCommandButton.IsDefinitive)","Boolean?","IsDefinitive","_IsDefinitive"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","86","Property","nameof(DXO10CUI.BackstageFastCommandButton.Enabled)","Boolean?","Enabled","_Enabled"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","93","Property","nameof(DXO10CUI.BackstageFastCommandButton.GetEnabled)","String?","GetEnabled","_GetEnabled"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","100","Property","nameof(DXO10CUI.BackstageFastCommandButton.Label)","String?","Label","_Label"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","107","Property","nameof(DXO10CUI.BackstageFastCommandButton.GetLabel)","String?","GetLabel","_GetLabel"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","114","Property","nameof(DXO10CUI.BackstageFastCommandButton.Visible)","Boolean?","Visible","_Visible"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","121","Property","nameof(DXO10CUI.BackstageFastCommandButton.GetVisible)","String?","GetVisible","_GetVisible"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","128","Property","nameof(DXO10CUI.BackstageFastCommandButton.Keytip)","String?","Keytip","_Keytip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","135","Property","nameof(DXO10CUI.BackstageFastCommandButton.GetKeytip)","String?","GetKeytip","_GetKeytip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","142","Property","nameof(DXO10CUI.BackstageFastCommandButton.Image)","String?","Image","_Image"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","149","Property","nameof(DXO10CUI.BackstageFastCommandButton.ImageMso)","String?","ImageMso","_ImageMso"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageFastCommandButton.cs","156","Property","nameof(DXO10CUI.BackstageFastCommandButton.GetImage)","String?","GetImage","_GetImage"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroup.cs","24","Property","nameof(DXO10CUI.BackstageGroup.Id)","String?","Id","_Id"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroup.cs","31","Property","nameof(DXO10CUI.BackstageGroup.QualifiedId)","String?","QualifiedId","_QualifiedId"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroup.cs","38","Property","nameof(DXO10CUI.BackstageGroup.Tag)","String?","Tag","_Tag"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroup.cs","45","Property","nameof(DXO10CUI.BackstageGroup.IdMso)","String?","IdMso","_IdMso"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroup.cs","52","Property","nameof(DXO10CUI.BackstageGroup.InsertAfterMso)","String?","InsertAfterMso","_InsertAfterMso"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroup.cs","59","Property","nameof(DXO10CUI.BackstageGroup.InsertBeforeMso)","String?","InsertBeforeMso","_InsertBeforeMso"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroup.cs","66","Property","nameof(DXO10CUI.BackstageGroup.InsertAfterQulifiedId)","String?","InsertAfterQualifiedId","_InsertAfterQualifiedId"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroup.cs","73","Property","nameof(DXO10CUI.BackstageGroup.InsertBeforeQulifiedId)","String?","InsertBeforeQualifiedId","_InsertBeforeQualifiedId"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroup.cs","80","Property","nameof(DXO10CUI.BackstageGroup.Label)","String?","Label","_Label"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroup.cs","87","Property","nameof(DXO10CUI.BackstageGroup.GetLabel)","String?","GetLabel","_GetLabel"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroup.cs","94","Property","nameof(DXO10CUI.BackstageGroup.Visible)","Boolean?","Visible","_Visible"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroup.cs","101","Property","nameof(DXO10CUI.BackstageGroup.GetVisible)","String?","GetVisible","_GetVisible"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroup.cs","108","Property","nameof(DXO10CUI.BackstageGroup.Style)","Style?","Style","_Style"
