"File","DeclaringType","Property","Kind","Line"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualConnectorShapeDrawingProperties.cs","NonVisualConnectorShapeDrawingProperties","NonVisualConnectionShapeProperties","Property","21"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualConnectorShapeDrawingProperties.cs","NonVisualConnectorShapeDrawingProperties","NonVisualDrawingProperties","Property","14"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualDrawingProperties.cs","NonVisualDrawingProperties","Description","Property","28"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualDrawingProperties.cs","NonVisualDrawingProperties","Hidden","Property","35"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualDrawingProperties.cs","NonVisualDrawingProperties","HyperlinkOnClick","Property","49"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualDrawingProperties.cs","NonVisualDrawingProperties","HyperlinkOnHover","Property","56"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualDrawingProperties.cs","NonVisualDrawingProperties","Id","Property","14"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualDrawingProperties.cs","NonVisualDrawingProperties","Name","Property","21"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualDrawingProperties.cs","NonVisualDrawingProperties","NonVisualDrawingPropertiesExtensionList","Property","63"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualDrawingProperties.cs","NonVisualDrawingProperties","Title","Property","42"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualGraphicFrameDrawingProperties.cs","NonVisualGraphicFrameDrawingProperties","GraphicFrameLocks","Property","14"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualGraphicFrameProperties.cs","NonVisualGraphicFrameProperties","NonVisualDrawingProperties","Property","14"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualGraphicFrameProperties.cs","NonVisualGraphicFrameProperties","NonVisualGraphicFrameDrawingProperties","Property","21"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualGroupShapeDrawingProperties.cs","NonVisualGroupShapeDrawingProperties","GroupShapeLocks","Property","14"
